TOT Global CM22 (vent/cor) [kW-hr/m^2],AVG Tower Dry Bulb Temp [deg C],AVG Tower RH [%],AVG Total Cloud Cover [%],AVG Station Pressure [mBar],AVG Precipitation [mm]
5.2177,23.7232,42.8567,27.6181,825.259,0.0002
6.1883,27.0666,31.3905,26.7674,819.6016,0.0014
4.4132,25.4397,35.6563,34.2014,819.3601,0.0002
4.547,24.3393,38.7401,40.9979,821.4962,0.0004
4.7048,20.3685,58.7692,37.7313,825.9038,0
5.1414,21.2825,56.5695,34.8292,825.3857,0
4.329,18.9411,70.6153,46.1964,823.188,0.0145
1.0318,13.2429,102.7814,51.5958,825.3023,0.0434
5.3944,17.0524,70.1243,35.4325,824.443,0.0004
5.5888,19.3552,49.4435,38.5522,823.9433,0
8.5039,21.0573,35.9254,0.6514,823.8078,0
8.0759,22.975,35.1416,4.1715,822.3064,0
5.8198,22.899,38.7841,32.7131,820.9442,0
4.6155,20.6851,52.6234,29.4451,820.9079,0.0004
7.1171,22.5374,43.2669,16.3375,820.6586,0.0002
5.4993,19.418,56.5432,29.8424,820.6669,0.0042
7.0242,21.254,42.9065,9.8673,819.5455,0
4.5271,20.5036,44.1182,25.7917,821.2676,0.0035
5.4623,19.2904,54.4706,29.7764,826.2451,0
7.9647,21.2826,41.0207,0.8313,826.0529,0
7.8908,23.9032,31.978,0.2458,823.5214,0
6.2223,23.5658,40.2726,30.7271,821.0203,0.0018
4.9137,21.3954,56.3296,35.0875,819.183,0.0007
5.9064,22.4349,42.6374,20.6569,820.2075,0.0021
6.4025,24.9304,28.4004,9.1326,820.9071,0
5.8494,24.5689,26.1079,14.8826,820.6289,0.0002
5.7162,23.1406,31.1019,17.0662,818.7762,0.0004
5.4127,21.7286,40.21,26.0819,815.5617,0
5.5533,21.4675,49.3785,22.4431,815.2409,0.009
6.4615,21.0759,47.5826,26.1873,819.2539,0
2.3821,17.4418,71.8134,49.9375,819.6979,0.0004
5.5001,18.2311,58.5926,19.8767,815.4443,0.0007
7.0743,19.855,32.0643,6.8806,817.455,0
5.3648,17.666,53.5873,27.3014,821.1331,0
4.1162,17.0133,73.7409,38.366,822.5849,0.0074
5.1638,17.221,63.5899,27.3795,820.7401,0.0016
3.7739,15.2303,63.7215,35.641,820.4983,0.003
4.251,18.7779,45.5264,30.3111,819.8285,0.0012
5.2245,20.9491,36.6909,20.9347,817.2931,0
5.0261,17.5378,55.0425,27.6574,814.7121,0.0011
6.728,17.986,51.1875,6.525,818.0206,0
7.0811,20.2778,39.2451,1.2013,818.0213,0
6.4534,25.4209,21.8163,6.3889,813.7602,0
4.6182,17.9819,51.804,33.4646,818.9454,0.0039
1.4568,11.5187,92.4598,46.3315,825.124,0.006
5.0392,14.6081,78.0245,26.3426,825.2247,0
4.5284,19.8967,41.8382,21.9034,820.2426,0.0004
3.7185,20.8678,39.7609,38.3942,817.7366,0
3.1786,17.6152,65.2388,37.7514,814.6258,0.0004
5.5299,15.2336,70.6035,18.241,818.5425,0.0051
