TOT Global CMP22 (vent/cor) [kW-hr/m^2],AVG Tower Dry Bulb Temp [deg C],AVG Tower RH [%],AVG Total Cloud Cover [%],AVG Station Pressure [mBar],AVG Precipitation [mm]
8.4831,20.0766,29.0183,19.7931,811.8364,0
7.6558,15.8321,47.8658,20.19,811.0765,0
5.7839,12.2033,56.1428,30.8153,813.3791,0.0009
7.0067,14.015,55.1077,26.556,813.1208,0
7.2986,14.9353,44.7103,24.3389,815.0994,0
2.8717,10.8716,64.0481,45.5493,814.226,0
4.958,10.25,67.0574,48.8905,812.9665,0.0021
7.2006,14.6391,42.0619,23.755,816.7194,0
6.4864,16.4178,37.2132,30.6618,819.5524,0
6.9545,17.3376,33.1959,31.6889,816.74,0
6.6579,13.0061,62.4217,40.0965,819.3577,0.0002
8.1919,15.1537,68.2923,25.0863,819.49,0.0039
8.6679,19.8118,34.7579,15.0396,819.594,0
7.6933,20.6791,31.6524,32.9743,821.4677,0
8.8937,19.1571,42.237,6.1813,824.8702,0
8.6714,20.4139,39.3051,12.6222,820.6682,0
6.6075,19.4518,49.7643,29.2742,819.5811,0.0012
5.8306,18.61,49.9855,31.5007,817.3363,0
6.4534,21.4958,33.533,38.25,815.916,0
8.0811,24.2025,29.8121,14.834,815.7777,0
7.8376,26.0424,20.6382,27.5889,817.1121,0
8.6218,24.561,31.3726,15.384,817.1416,0.0026
6.8815,21.0904,45.9861,34.0965,820.6795,0
5.97,16.504,70.1491,36.4078,819.0798,0.0145
8.9103,19.2178,34.8346,7.8782,814.8482,0
9.1408,23.6499,22.9641,5.3382,814.7349,0
8.9399,25.5041,14.9357,8.5119,814.8203,0
8.6865,24.5158,26.4508,6.5819,820.913,0
8.616,24.3889,40.3234,6.9645,823.514,0
8.7076,27.5664,26.1789,12.3069,822.6356,0
4.4711,20.4782,56.6331,37.7389,826.2366,0
7.6397,26.106,40.2737,33.9347,819.8062,0.0005
4.2427,21.8368,39.1303,46.7349,821.1065,0.0007
6.073,23.0223,39.533,29.9493,820.2821,0
5.4183,24.6146,31.2611,35.6868,817.5774,0
6.2727,22.6534,37.1769,33.2143,819.7557,0
8.7757,23.9335,34.4411,8.9889,822.3249,0
8.832,24.7004,27.8109,6.1514,824.702,0
7.6682,22.3456,52.3033,21.0572,824.4114,0.0002
7.3152,20.7695,53.2236,26.9165,822.4024,0
4.3471,18.7602,60.4542,48.8361,822.4683,0.0028
3.7878,17.6205,85.1886,51.7127,819.9789,0.0034
4.458,18.2959,70.1189,49.2227,818.6622,0.0009
6.5128,22.6715,34.5837,33.1833,818.5561,0
6.8443,24.9933,26.4751,25.1722,818.3653,0
7.4798,24.1103,31.2494,25.866,817.3261,0
6.8161,25.0616,23.9461,22.0236,815.1046,0
8.7922,23.8776,24.2273,8.5049,817.2953,0
6.917,22.8227,37.4336,19.4694,819.629,0
8.1651,27.3648,17.5201,13.9308,818.8093,0
7.9624,28.6978,13.1517,17.9403,812.5252,0
8.2972,23.0598,27.6479,12.4421,813.7973,0
8.4684,23.3413,26.8612,9.2125,816.331,0
